day,hour,kw_returned,kw_consumed
2019-01-26,20,NA,0.838
2019-01-26,21,NA,0.829
2019-01-26,22,NA,0.816
2019-01-26,23,NA,0.616
2019-01-27,0,NA,0.511
2019-01-27,1,NA,0.699
2019-01-27,2,NA,0.524
2019-01-27,3,NA,0.538
2019-01-27,4,NA,0.526
2019-01-27,5,NA,0.795
2019-01-27,6,NA,0.919
2019-01-27,7,NA,0.963
2019-01-27,8,NA,1.681
2019-01-27,9,NA,1.164
2019-01-27,10,NA,0.826
2019-01-27,11,NA,0.615
2019-01-27,12,NA,0.618
2019-01-27,13,NA,0.5
2019-01-27,14,NA,0.484
2019-01-27,15,NA,0.632
2019-01-27,16,NA,0.821
2019-01-27,17,NA,1.477
2019-01-27,18,NA,2.724
2019-01-27,19,NA,2.185
2019-01-27,20,NA,0.9
2019-01-27,21,NA,0.833
2019-01-27,22,NA,0.602
2019-01-27,23,NA,0.535
2019-01-28,0,NA,0.518
2019-01-28,1,NA,0.522
2019-01-28,2,NA,0.54
2019-01-28,3,NA,0.57
2019-01-28,4,NA,0.578
2019-01-28,5,NA,0.76
2019-01-28,6,NA,1.125
2019-01-28,7,NA,2.411
2019-01-28,8,NA,5.824
2019-01-28,9,NA,5.28
2019-01-28,10,NA,3.883
2019-01-28,11,NA,2.183
2019-01-28,12,NA,2.296
2019-01-28,13,NA,2.007
2019-01-28,14,NA,1.394
2019-01-28,15,NA,1.222
2019-01-28,16,NA,1.603
2019-01-28,17,NA,2.711
2019-01-28,18,NA,0.888
2019-01-28,19,NA,1.382
2019-01-28,20,NA,0.848
2019-01-28,21,NA,0.586
2019-01-28,22,NA,0.435
2019-01-28,23,NA,0.44
2019-01-29,0,NA,0.442
2019-01-29,1,NA,0.314
2019-01-29,2,NA,0.465
2019-01-29,3,NA,0.459
2019-01-29,4,NA,0.427
2019-01-29,5,NA,0.749
2019-01-29,6,NA,1.147
2019-01-29,7,NA,4.407
2019-01-29,8,NA,6.301
2019-01-29,9,NA,2.747
2019-01-29,10,NA,2.63
2019-01-29,11,NA,2.71
2019-01-29,12,NA,2.035
2019-01-29,13,NA,1.454
2019-01-29,14,NA,0.821
2019-01-29,15,NA,0.463
2019-01-29,16,NA,0.412
2019-01-29,17,NA,2.156
2019-01-29,18,NA,0.853
2019-01-29,19,NA,1.439
2019-01-29,20,NA,1.488
2019-01-29,21,NA,0.783
2019-01-29,22,NA,0.441
2019-01-29,23,NA,0.473
2019-01-30,0,NA,0.448
2019-01-30,1,NA,0.465
2019-01-30,2,NA,0.474
2019-01-30,3,NA,0.469
2019-01-30,4,NA,0.46
2019-01-30,5,NA,0.738
2019-01-30,6,NA,1.121
2019-01-30,7,NA,2.229
2019-01-30,8,NA,4.43
2019-01-30,9,NA,5.952
2019-01-30,10,NA,3.699
2019-01-30,11,NA,3.128
2019-01-30,12,NA,2.539
2019-01-30,13,NA,1.254
2019-01-30,14,NA,2.771
2019-01-30,15,NA,2.357
2019-01-30,16,NA,2.189
2019-01-30,17,NA,2.814
2019-01-30,18,NA,0.933
2019-01-30,19,NA,0.77
2019-01-30,20,NA,0.643
2019-01-30,21,NA,0.739
2019-01-30,22,NA,0.466
2019-01-30,23,NA,0.389
2019-01-31,0,NA,0.447
2019-01-31,1,NA,0.384
2019-01-31,2,NA,0.37
2019-01-31,3,NA,0.435
2019-01-31,4,NA,0.399
2019-01-31,5,NA,0.7
2019-01-31,6,NA,0.896
2019-01-31,7,NA,1.352
2019-01-31,8,NA,4.33
2019-01-31,9,NA,5.658
2019-01-31,10,NA,4.32
2019-01-31,11,NA,1.148
2019-01-31,12,NA,1.219
2019-01-31,13,NA,1.25
2019-01-31,14,NA,0.806
2019-01-31,15,NA,0.846
2019-01-31,16,NA,0.855
2019-01-31,17,NA,0.714
2019-01-31,18,NA,1.046
2019-01-31,19,NA,2.436
2019-01-31,20,NA,2.599
2019-01-31,21,NA,1.16
2019-01-31,22,NA,0.976
2019-01-31,23,NA,1.912
2019-02-01,0,NA,0.561
2019-02-01,1,NA,0.56
2019-02-01,2,NA,0.414
2019-02-01,3,NA,0.643
2019-02-01,4,NA,0.814
2019-02-01,5,NA,2.38
2019-02-01,6,NA,1.143
2019-02-01,7,NA,1.492
2019-02-01,8,NA,5.351
2019-02-01,9,NA,4.698
2019-02-01,10,NA,3.232
2019-02-01,11,NA,2.323
2019-02-01,12,NA,1.268
2019-02-01,13,NA,0.474
2019-02-01,14,NA,0.677
2019-02-01,15,NA,0.843
2019-02-01,16,NA,0.806
2019-02-01,17,NA,0.804
2019-02-01,18,NA,0.905
2019-02-01,19,NA,0.848
2019-02-01,20,NA,0.729
2019-02-01,21,NA,0.685
2019-02-01,22,NA,0.573
2019-02-01,23,NA,0.464
2019-02-02,0,NA,0.453
2019-02-02,1,NA,0.496
2019-02-02,2,NA,0.289
2019-02-02,3,NA,0.47
2019-02-02,4,NA,0.734
2019-02-02,5,NA,0.494
2019-02-02,6,NA,0.835
2019-02-02,7,NA,0.864
2019-02-02,8,NA,0.812
2019-02-02,9,NA,1.436
2019-02-02,10,NA,1.098
2019-02-02,11,NA,1.379
2019-02-02,12,NA,1.031
2019-02-02,13,NA,1.089
2019-02-02,14,NA,0.946
2019-02-02,15,NA,0.886
2019-02-02,16,NA,2.427
2019-02-02,17,NA,2.186
2019-02-02,18,NA,1.076
2019-02-02,19,NA,1.246
2019-02-02,20,NA,1.169
2019-02-02,21,NA,1.023
2019-02-02,22,NA,0.867
2019-02-02,23,NA,0.825
2019-02-03,0,NA,0.645
2019-02-03,1,NA,0.633
2019-02-03,2,NA,0.663
2019-02-03,3,NA,0.643
2019-02-03,4,NA,0.64
2019-02-03,5,NA,0.684
2019-02-03,6,NA,1.095
2019-02-03,7,NA,1.072
2019-02-03,8,NA,1.075
2019-02-03,9,NA,1.408
2019-02-03,10,NA,1.382
2019-02-03,11,NA,3.164
2019-02-03,12,NA,3.997
2019-02-03,13,NA,3.227
2019-02-03,14,NA,1.755
2019-02-03,15,NA,1.189
2019-02-03,16,NA,1.035
2019-02-03,17,NA,1.124
