Date,Time,kWh delivered,kWh received,
23/07/2022,5 p.m.,0.316,0.844,
23/07/2022,6 p.m.,3.107,0.076,
23/07/2022,7 p.m.,1.146,0.0,
23/07/2022,8 p.m.,1.706,0.0,
23/07/2022,9 p.m.,0.802,0.0,
23/07/2022,10 p.m.,1.914,0.0,
23/07/2022,11 p.m.,1.582,0.0,
24/07/2022,12 a.m.,0.631,0.0,
24/07/2022,1 a.m.,0.563,0.0,
24/07/2022,2 a.m.,0.528,0.0,
24/07/2022,3 a.m.,0.499,0.0,
24/07/2022,4 a.m.,0.55,0.0,
24/07/2022,5 a.m.,0.725,0.0,
24/07/2022,6 a.m.,0.217,0.045,
24/07/2022,7 a.m.,0.013,1.295,
24/07/2022,8 a.m.,0.0,3.855,
24/07/2022,9 a.m.,0.0,5.213,
24/07/2022,10 a.m.,0.0,7.713,
24/07/2022,11 a.m.,0.0,8.417,
24/07/2022,12 p.m.,0.0,5.56,
24/07/2022,1 p.m.,0.002,7.29,
24/07/2022,2 p.m.,0.0,6.327,
24/07/2022,3 p.m.,0.015,5.02,
24/07/2022,4 p.m.,1.188,0.235,
24/07/2022,5 p.m.,2.977,0.0,
24/07/2022,6 p.m.,1.285,0.068,
24/07/2022,7 p.m.,0.215,0.221,
24/07/2022,8 p.m.,2.021,0.0,
24/07/2022,9 p.m.,2.831,0.0,
24/07/2022,10 p.m.,3.051,0.0,
24/07/2022,11 p.m.,1.057,0.0,
25/07/2022,12 a.m.,0.544,0.0,
25/07/2022,1 a.m.,0.525,0.0,
25/07/2022,2 a.m.,0.541,0.0,
25/07/2022,3 a.m.,0.538,0.0,
25/07/2022,4 a.m.,0.511,0.0,
25/07/2022,5 a.m.,0.765,0.0,
25/07/2022,6 a.m.,0.22,0.021,
25/07/2022,7 a.m.,0.009,1.331,
25/07/2022,8 a.m.,0.001,3.169,
25/07/2022,9 a.m.,0.0,4.15,
25/07/2022,10 a.m.,0.0,7.634,
25/07/2022,11 a.m.,0.0,6.69,
25/07/2022,12 p.m.,0.0,8.931,
25/07/2022,1 p.m.,0.0,6.583,
25/07/2022,2 p.m.,0.0,6.595,
25/07/2022,3 p.m.,0.0,5.635,
25/07/2022,4 p.m.,0.0,3.813,
25/07/2022,5 p.m.,0.74,0.171,
25/07/2022,6 p.m.,2.028,0.052,
25/07/2022,7 p.m.,1.318,0.0,
25/07/2022,8 p.m.,1.83,0.0,
25/07/2022,9 p.m.,1.161,0.0,
25/07/2022,10 p.m.,1.921,0.0,
25/07/2022,11 p.m.,0.652,0.0,
26/07/2022,12 a.m.,0.507,0.0,
26/07/2022,1 a.m.,0.604,0.0,
26/07/2022,2 a.m.,1.646,0.0,
26/07/2022,3 a.m.,0.747,0.0,
26/07/2022,4 a.m.,0.515,0.0,
26/07/2022,5 a.m.,0.788,0.0,
26/07/2022,6 a.m.,0.271,0.004,
26/07/2022,7 a.m.,0.146,0.855,
26/07/2022,8 a.m.,0.048,2.939,
26/07/2022,9 a.m.,0.0,4.377,
26/07/2022,10 a.m.,0.0,5.959,
26/07/2022,11 a.m.,0.0,7.457,
26/07/2022,12 p.m.,0.0,8.875,
26/07/2022,1 p.m.,0.0,8.412,
26/07/2022,2 p.m.,0.0,7.112,
26/07/2022,3 p.m.,0.0,6.605,
26/07/2022,4 p.m.,0.0,3.923,
26/07/2022,5 p.m.,0.225,0.761,
26/07/2022,6 p.m.,2.991,0.0,
26/07/2022,7 p.m.,1.013,0.0,
26/07/2022,8 p.m.,2.352,0.0,
26/07/2022,9 p.m.,0.992,0.0,
26/07/2022,10 p.m.,1.518,0.0,
26/07/2022,11 p.m.,1.308,0.0,
27/07/2022,12 a.m.,0.581,0.0,
27/07/2022,1 a.m.,0.612,0.0,
27/07/2022,2 a.m.,1.57,0.0,
27/07/2022,3 a.m.,0.541,0.0,
27/07/2022,4 a.m.,0.631,0.0,
27/07/2022,5 a.m.,0.805,0.0,
27/07/2022,6 a.m.,0.38,0.012,
27/07/2022,7 a.m.,0.158,0.47,
27/07/2022,8 a.m.,0.001,3.315,
27/07/2022,9 a.m.,0.0,4.189,
27/07/2022,10 a.m.,0.0,7.178,
27/07/2022,11 a.m.,0.0,6.984,
27/07/2022,12 p.m.,0.0,8.674,
27/07/2022,1 p.m.,0.0,6.412,
27/07/2022,2 p.m.,0.0,6.839,
27/07/2022,3 p.m.,0.0,5.203,
27/07/2022,4 p.m.,0.0,4.136,
27/07/2022,5 p.m.,1.323,0.343,
27/07/2022,6 p.m.,4.262,0.0,
27/07/2022,7 p.m.,1.341,0.0,
27/07/2022,8 p.m.,2.748,0.0,
27/07/2022,9 p.m.,1.954,0.0,
27/07/2022,10 p.m.,2.151,0.0,
27/07/2022,11 p.m.,1.292,0.0,
28/07/2022,12 a.m.,0.51,0.0,
28/07/2022,1 a.m.,0.551,0.0,
28/07/2022,2 a.m.,0.5,0.0,
28/07/2022,3 a.m.,0.491,0.0,
28/07/2022,4 a.m.,1.688,0.0,
28/07/2022,5 a.m.,0.73,0.0,
28/07/2022,6 a.m.,0.272,0.002,
28/07/2022,7 a.m.,0.283,0.407,
28/07/2022,8 a.m.,0.116,1.48,
28/07/2022,9 a.m.,0.0,5.334,
28/07/2022,10 a.m.,0.0,5.634,
28/07/2022,11 a.m.,0.0,8.476,
28/07/2022,12 p.m.,0.0,6.408,
28/07/2022,1 p.m.,0.0,6.281,
28/07/2022,2 p.m.,0.0,5.287,
28/07/2022,3 p.m.,0.0,6.313,
28/07/2022,4 p.m.,0.0,3.449,
28/07/2022,5 p.m.,1.029,0.242,
28/07/2022,6 p.m.,2.111,0.079,
28/07/2022,7 p.m.,1.329,0.0,
28/07/2022,8 p.m.,1.645,0.0,
28/07/2022,9 p.m.,1.976,0.0,
28/07/2022,10 p.m.,1.768,0.0,
28/07/2022,11 p.m.,0.523,0.0,
29/07/2022,12 a.m.,0.529,0.0,
29/07/2022,1 a.m.,1.632,0.0,
29/07/2022,2 a.m.,0.485,0.0,
29/07/2022,3 a.m.,0.504,0.0,
29/07/2022,4 a.m.,0.606,0.0,
29/07/2022,5 a.m.,1.668,0.0,
29/07/2022,6 a.m.,0.659,0.056,
29/07/2022,7 a.m.,0.015,1.013,
29/07/2022,8 a.m.,1.238,1.239,
29/07/2022,9 a.m.,0.144,3.13,
29/07/2022,10 a.m.,0.0,6.704,
29/07/2022,11 a.m.,0.0,7.953,
29/07/2022,12 p.m.,0.0,6.841,
29/07/2022,1 p.m.,0.0,6.347,
29/07/2022,2 p.m.,0.007,5.52,
29/07/2022,3 p.m.,0.0,3.6,
29/07/2022,4 p.m.,0.0,2.169,
29/07/2022,5 p.m.,0.813,0.388,
29/07/2022,6 p.m.,1.202,0.006,
29/07/2022,7 p.m.,2.276,0.0,
29/07/2022,8 p.m.,1.175,0.0,
29/07/2022,9 p.m.,2.066,0.0,
29/07/2022,10 p.m.,2.237,0.0,
29/07/2022,11 p.m.,1.475,0.0,
30/07/2022,12 a.m.,1.089,0.0,
30/07/2022,1 a.m.,0.729,0.0,
30/07/2022,2 a.m.,1.457,0.0,
30/07/2022,3 a.m.,0.547,0.0,
30/07/2022,4 a.m.,0.549,0.0,
30/07/2022,5 a.m.,0.768,0.0,
30/07/2022,6 a.m.,0.266,0.004,
30/07/2022,7 a.m.,0.647,0.789,
30/07/2022,8 a.m.,0.0,3.3,
30/07/2022,9 a.m.,0.0,4.169,
30/07/2022,10 a.m.,0.0,7.305,
30/07/2022,11 a.m.,0.0,6.79,
30/07/2022,12 p.m.,0.0,6.889,
30/07/2022,1 p.m.,0.0,7.011,
30/07/2022,2 p.m.,0.0,6.458,
30/07/2022,3 p.m.,0.36,3.233,
30/07/2022,4 p.m.,0.396,3.218,
30/07/2022,5 p.m.,0.874,0.005,
30/07/2022,6 p.m.,1.864,0.003,
30/07/2022,7 p.m.,1.258,0.001,
30/07/2022,8 p.m.,2.397,0.0,
30/07/2022,9 p.m.,1.311,0.0,
30/07/2022,10 p.m.,2.37,0.0,
30/07/2022,11 p.m.,1.216,0.0,
31/07/2022,12 a.m.,0.617,0.0,
31/07/2022,1 a.m.,0.573,0.0,
31/07/2022,2 a.m.,1.68,0.0,
31/07/2022,3 a.m.,0.579,0.0,
31/07/2022,4 a.m.,0.65,0.0,
31/07/2022,5 a.m.,0.765,0.0,
31/07/2022,6 a.m.,0.304,0.02,
31/07/2022,7 a.m.,0.124,0.791,
31/07/2022,8 a.m.,0.023,3.066,
31/07/2022,9 a.m.,0.0,4.293,
31/07/2022,10 a.m.,0.0,7.554,
31/07/2022,11 a.m.,0.0,7.258,
31/07/2022,12 p.m.,0.0,8.933,
31/07/2022,1 p.m.,0.0,6.556,
31/07/2022,2 p.m.,0.0,4.598,
31/07/2022,3 p.m.,0.0,6.169,
31/07/2022,4 p.m.,0.0,4.003,
31/07/2022,5 p.m.,1.213,1.021,
31/07/2022,6 p.m.,2.73,0.0,
31/07/2022,7 p.m.,3.23,0.0,
31/07/2022,8 p.m.,1.621,0.0,
31/07/2022,9 p.m.,1.773,0.0,
31/07/2022,10 p.m.,1.611,0.0,
31/07/2022,11 p.m.,1.24,0.0,
01/08/2022,12 a.m.,0.551,0.0,
01/08/2022,1 a.m.,0.552,0.0,
01/08/2022,2 a.m.,1.552,0.0,
01/08/2022,3 a.m.,0.538,0.0,
01/08/2022,4 a.m.,0.62,0.0,
01/08/2022,5 a.m.,1.082,0.0,
01/08/2022,6 a.m.,0.366,0.005,
01/08/2022,7 a.m.,0.062,0.584,
01/08/2022,8 a.m.,0.212,2.844,
01/08/2022,9 a.m.,0.0,6.083,
01/08/2022,10 a.m.,0.0,6.745,
01/08/2022,11 a.m.,0.0,7.118,
01/08/2022,12 p.m.,0.0,8.495,
01/08/2022,1 p.m.,0.0,7.177,
01/08/2022,2 p.m.,0.114,2.164,
01/08/2022,3 p.m.,0.357,0.121,
01/08/2022,4 p.m.,0.224,2.386,
01/08/2022,5 p.m.,0.391,0.414,
01/08/2022,6 p.m.,0.384,0.265,
01/08/2022,7 p.m.,2.434,0.0,
01/08/2022,8 p.m.,0.668,0.0,
01/08/2022,9 p.m.,2.086,0.0,
01/08/2022,10 p.m.,0.639,0.0,
01/08/2022,11 p.m.,1.101,0.0,
02/08/2022,12 a.m.,1.623,0.0,
02/08/2022,1 a.m.,0.564,0.0,
02/08/2022,2 a.m.,1.023,0.0,
02/08/2022,3 a.m.,0.831,0.0,
02/08/2022,4 a.m.,0.613,0.0,
02/08/2022,5 a.m.,0.791,0.0,
02/08/2022,6 a.m.,0.206,0.023,
02/08/2022,7 a.m.,0.418,0.329,
02/08/2022,8 a.m.,0.003,3.347,
02/08/2022,9 a.m.,0.0,4.439,
02/08/2022,10 a.m.,0.0,7.435,
02/08/2022,11 a.m.,0.0,7.217,
02/08/2022,12 p.m.,0.0,9.404,
02/08/2022,1 p.m.,0.0,7.773,
02/08/2022,2 p.m.,0.004,7.091,
02/08/2022,3 p.m.,0.0,4.706,
02/08/2022,4 p.m.,0.026,2.269,
02/08/2022,5 p.m.,0.046,1.072,
02/08/2022,6 p.m.,0.101,0.03,
02/08/2022,7 p.m.,2.576,0.0,
02/08/2022,8 p.m.,1.234,0.0,
02/08/2022,9 p.m.,2.263,0.0,
02/08/2022,10 p.m.,0.78,0.0,
02/08/2022,11 p.m.,0.559,0.0,
03/08/2022,12 a.m.,0.579,0.0,
03/08/2022,1 a.m.,0.497,0.0,
03/08/2022,2 a.m.,0.561,0.0,
03/08/2022,3 a.m.,0.916,0.0,
03/08/2022,4 a.m.,0.613,0.0,
03/08/2022,5 a.m.,0.697,0.0,
03/08/2022,6 a.m.,0.239,0.019,
03/08/2022,7 a.m.,0.16,0.67,
03/08/2022,8 a.m.,0.0,1.973,
03/08/2022,9 a.m.,0.0,4.637,
03/08/2022,10 a.m.,0.0,4.165,
03/08/2022,11 a.m.,0.0,3.933,
03/08/2022,12 p.m.,0.0,5.058,
03/08/2022,1 p.m.,0.002,5.496,
03/08/2022,2 p.m.,0.001,5.358,
03/08/2022,3 p.m.,0.012,5.746,
03/08/2022,4 p.m.,0.018,2.275,
03/08/2022,5 p.m.,0.138,1.077,
03/08/2022,6 p.m.,1.691,0.0,
03/08/2022,7 p.m.,0.447,0.0,
03/08/2022,8 p.m.,0.708,0.0,
03/08/2022,9 p.m.,1.202,0.0,
03/08/2022,10 p.m.,1.281,0.0,
03/08/2022,11 p.m.,0.678,0.0,
04/08/2022,12 a.m.,0.592,0.0,
04/08/2022,1 a.m.,0.516,0.0,
04/08/2022,2 a.m.,0.551,0.0,
04/08/2022,3 a.m.,0.521,0.0,
04/08/2022,4 a.m.,0.604,0.0,
04/08/2022,5 a.m.,1.154,0.0,
04/08/2022,6 a.m.,0.208,0.147,
04/08/2022,7 a.m.,0.041,0.584,
04/08/2022,8 a.m.,0.049,3.557,
04/08/2022,9 a.m.,0.118,4.285,
04/08/2022,10 a.m.,0.029,2.636,
04/08/2022,11 a.m.,0.0,8.914,
04/08/2022,12 p.m.,0.0,4.572,
04/08/2022,1 p.m.,0.049,2.388,
04/08/2022,2 p.m.,0.0,6.281,
04/08/2022,3 p.m.,0.0,4.58,
04/08/2022,4 p.m.,0.001,3.525,
04/08/2022,5 p.m.,0.251,1.399,
04/08/2022,6 p.m.,0.962,0.185,
04/08/2022,7 p.m.,0.37,0.016,
04/08/2022,8 p.m.,1.155,0.0,
04/08/2022,9 p.m.,1.325,0.0,
04/08/2022,10 p.m.,1.175,0.0,
04/08/2022,11 p.m.,0.539,0.0,
05/08/2022,12 a.m.,0.561,0.0,
05/08/2022,1 a.m.,0.511,0.0,
05/08/2022,2 a.m.,0.542,0.0,
05/08/2022,3 a.m.,0.526,0.0,
05/08/2022,4 a.m.,0.618,0.0,
05/08/2022,5 a.m.,0.71,0.0,
05/08/2022,6 a.m.,0.39,0.018,
05/08/2022,7 a.m.,0.368,0.958,
05/08/2022,8 a.m.,0.0,3.654,
05/08/2022,9 a.m.,0.0,6.032,
05/08/2022,10 a.m.,0.0,7.843,
05/08/2022,11 a.m.,0.0,9.272,
05/08/2022,12 p.m.,0.0,7.923,
05/08/2022,1 p.m.,0.072,6.219,
05/08/2022,2 p.m.,0.0,9.126,
05/08/2022,3 p.m.,0.0,7.815,
05/08/2022,4 p.m.,0.004,3.92,
05/08/2022,5 p.m.,0.0,2.075,
05/08/2022,6 p.m.,0.128,0.202,
05/08/2022,7 p.m.,0.614,0.0,
05/08/2022,8 p.m.,1.156,0.0,
05/08/2022,9 p.m.,0.919,0.0,
05/08/2022,10 p.m.,0.776,0.0,
05/08/2022,11 p.m.,1.073,0.0,
06/08/2022,12 a.m.,1.038,0.0,
06/08/2022,1 a.m.,0.803,0.0,
06/08/2022,2 a.m.,0.522,0.0,
06/08/2022,3 a.m.,0.617,0.0,
06/08/2022,4 a.m.,0.54,0.0,
06/08/2022,5 a.m.,0.582,0.0,
06/08/2022,6 a.m.,0.41,0.004,
06/08/2022,7 a.m.,0.045,1.048,
06/08/2022,8 a.m.,0.0,3.539,
06/08/2022,9 a.m.,0.002,5.221,
06/08/2022,10 a.m.,0.0,7.335,
06/08/2022,11 a.m.,0.0,8.589,
06/08/2022,12 p.m.,0.0,8.151,
06/08/2022,1 p.m.,0.0,8.11,
06/08/2022,2 p.m.,0.0,7.494,
06/08/2022,3 p.m.,0.103,5.31,
06/08/2022,4 p.m.,0.0,2.899,
06/08/2022,5 p.m.,0.013,1.864,
06/08/2022,6 p.m.,0.335,0.109,
06/08/2022,7 p.m.,3.092,0.0,
06/08/2022,8 p.m.,0.936,0.0,
06/08/2022,9 p.m.,1.43,0.0,
06/08/2022,10 p.m.,0.639,0.0,
06/08/2022,11 p.m.,1.009,0.0,
07/08/2022,12 a.m.,0.546,0.0,
07/08/2022,1 a.m.,0.562,0.0,
07/08/2022,2 a.m.,0.49,0.0,
07/08/2022,3 a.m.,0.583,0.0,
07/08/2022,4 a.m.,0.514,0.0,
07/08/2022,5 a.m.,0.789,0.0,
07/08/2022,6 a.m.,0.357,0.005,
07/08/2022,7 a.m.,0.017,1.033,
07/08/2022,8 a.m.,0.02,2.81,
07/08/2022,9 a.m.,0.0,5.588,
07/08/2022,10 a.m.,0.0,7.842,
07/08/2022,11 a.m.,0.0,8.871,
07/08/2022,12 p.m.,0.0,8.899,
07/08/2022,1 p.m.,0.0,8.396,
07/08/2022,2 p.m.,0.0,6.671,
07/08/2022,3 p.m.,0.0,7.078,
07/08/2022,4 p.m.,0.005,3.578,
07/08/2022,5 p.m.,0.346,0.308,
07/08/2022,6 p.m.,0.683,0.221,
07/08/2022,7 p.m.,1.941,0.0,
07/08/2022,8 p.m.,4.14,0.0,
07/08/2022,9 p.m.,1.622,0.0,
07/08/2022,10 p.m.,0.693,0.0,
07/08/2022,11 p.m.,0.921,0.0,
08/08/2022,12 a.m.,1.039,0.0,
08/08/2022,1 a.m.,0.522,0.0,
08/08/2022,2 a.m.,0.931,0.0,
08/08/2022,3 a.m.,0.57,0.0,
08/08/2022,4 a.m.,0.618,0.0,
08/08/2022,5 a.m.,0.847,0.0,
08/08/2022,6 a.m.,0.753,0.004,
08/08/2022,7 a.m.,0.86,0.973,
08/08/2022,8 a.m.,0.0,3.282,
08/08/2022,9 a.m.,0.0,4.61,
08/08/2022,10 a.m.,0.0,7.415,
08/08/2022,11 a.m.,0.0,6.713,
08/08/2022,12 p.m.,0.0,8.848,
08/08/2022,1 p.m.,0.0,7.941,
08/08/2022,2 p.m.,0.0,7.613,
08/08/2022,3 p.m.,0.0,7.124,
08/08/2022,4 p.m.,0.0,2.243,
08/08/2022,5 p.m.,0.892,1.026,
08/08/2022,6 p.m.,2.183,0.0,
08/08/2022,7 p.m.,0.307,0.0,
08/08/2022,8 p.m.,0.538,0.0,
08/08/2022,9 p.m.,1.572,0.0,
08/08/2022,10 p.m.,0.653,0.0,
08/08/2022,11 p.m.,0.924,0.0,
09/08/2022,12 a.m.,0.497,0.0,
09/08/2022,1 a.m.,0.546,0.0,
09/08/2022,2 a.m.,1.415,0.0,
09/08/2022,3 a.m.,0.517,0.0,
09/08/2022,4 a.m.,0.512,0.0,
09/08/2022,5 a.m.,0.846,0.0,
09/08/2022,6 a.m.,0.31,0.015,
09/08/2022,7 a.m.,0.015,1.014,
09/08/2022,8 a.m.,0.003,3.117,
09/08/2022,9 a.m.,0.0,4.912,
09/08/2022,10 a.m.,0.0,6.833,
09/08/2022,11 a.m.,0.0,3.902,
09/08/2022,12 p.m.,0.074,1.247,
09/08/2022,1 p.m.,0.0,1.205,
09/08/2022,2 p.m.,0.0,1.614,
09/08/2022,3 p.m.,0.019,0.846,
09/08/2022,4 p.m.,0.001,2.73,
09/08/2022,5 p.m.,0.324,0.503,
09/08/2022,6 p.m.,0.413,0.267,
09/08/2022,7 p.m.,2.362,0.0,
09/08/2022,8 p.m.,0.571,0.0,
09/08/2022,9 p.m.,0.605,0.0,
09/08/2022,10 p.m.,0.564,0.0,
09/08/2022,11 p.m.,1.006,0.0,
10/08/2022,12 a.m.,1.043,0.0,
10/08/2022,1 a.m.,0.5,0.0,
10/08/2022,2 a.m.,0.56,0.0,
10/08/2022,3 a.m.,0.512,0.0,
10/08/2022,4 a.m.,0.536,0.0,
10/08/2022,5 a.m.,0.697,0.0,
10/08/2022,6 a.m.,0.597,0.0,
10/08/2022,7 a.m.,0.663,0.107,
10/08/2022,8 a.m.,0.046,1.193,
10/08/2022,9 a.m.,0.159,0.248,
10/08/2022,10 a.m.,0.235,0.92,
10/08/2022,11 a.m.,0.054,2.24,
10/08/2022,12 p.m.,0.0,7.156,
10/08/2022,1 p.m.,0.0,6.031,
10/08/2022,2 p.m.,0.0,6.821,
10/08/2022,3 p.m.,0.0,6.9,
10/08/2022,4 p.m.,0.0,3.037,
10/08/2022,5 p.m.,0.206,1.634,
10/08/2022,6 p.m.,1.264,0.038,
10/08/2022,7 p.m.,0.493,0.0,
10/08/2022,8 p.m.,1.895,0.0,
10/08/2022,9 p.m.,0.579,0.0,
10/08/2022,10 p.m.,0.555,0.0,
10/08/2022,11 p.m.,0.52,0.0,
11/08/2022,12 a.m.,0.511,0.0,
11/08/2022,1 a.m.,0.528,0.0,
11/08/2022,2 a.m.,0.489,0.0,
11/08/2022,3 a.m.,0.547,0.0,
11/08/2022,4 a.m.,0.508,0.0,
11/08/2022,5 a.m.,0.681,0.0,
11/08/2022,6 a.m.,0.477,0.0,
11/08/2022,7 a.m.,0.015,1.008,
11/08/2022,8 a.m.,0.002,2.825,
