Date,Time,kWh delivered,kWh received
29/06/2022,12 p.m.,0.764,
29/06/2022,1 p.m.,0.892,
29/06/2022,2 p.m.,0.867,
29/06/2022,3 p.m.,0.816,
29/06/2022,4 p.m.,0.943,
29/06/2022,5 p.m.,1.085,
29/06/2022,6 p.m.,2.878,
29/06/2022,7 p.m.,1.666,
29/06/2022,8 p.m.,0.735,
29/06/2022,9 p.m.,0.943,
29/06/2022,10 p.m.,1.72,
29/06/2022,11 p.m.,0.964,
30/06/2022,12 a.m.,0.537,
30/06/2022,1 a.m.,0.577,
30/06/2022,2 a.m.,0.648,
30/06/2022,3 a.m.,0.524,
30/06/2022,4 a.m.,0.542,
30/06/2022,5 a.m.,0.658,
30/06/2022,6 a.m.,0.754,
30/06/2022,7 a.m.,0.894,
30/06/2022,8 a.m.,0.683,
30/06/2022,9 a.m.,1.123,
30/06/2022,10 a.m.,1.122,
30/06/2022,11 a.m.,0.686,
30/06/2022,12 p.m.,0.772,
30/06/2022,1 p.m.,0.648,
30/06/2022,2 p.m.,0.85,
30/06/2022,3 p.m.,1.234,
30/06/2022,4 p.m.,1.778,
30/06/2022,5 p.m.,1.013,
30/06/2022,6 p.m.,1.973,
30/06/2022,7 p.m.,1.591,
30/06/2022,8 p.m.,1.301,
30/06/2022,9 p.m.,1.196,
30/06/2022,10 p.m.,1.026,
30/06/2022,11 p.m.,0.858,
01/07/2022,12 a.m.,0.555,
01/07/2022,1 a.m.,0.539,
01/07/2022,2 a.m.,0.567,
01/07/2022,3 a.m.,0.526,
01/07/2022,4 a.m.,0.557,
01/07/2022,5 a.m.,0.733,
01/07/2022,6 a.m.,0.625,
01/07/2022,7 a.m.,0.798,
01/07/2022,8 a.m.,0.89,
01/07/2022,9 a.m.,0.66,
01/07/2022,10 a.m.,1.73,
01/07/2022,11 a.m.,0.881,
01/07/2022,12 p.m.,1.173,
01/07/2022,1 p.m.,1.827,
01/07/2022,2 p.m.,1.573,
01/07/2022,3 p.m.,1.276,
01/07/2022,4 p.m.,2.457,
01/07/2022,5 p.m.,1.811,
01/07/2022,6 p.m.,0.834,
01/07/2022,7 p.m.,2.763,
01/07/2022,8 p.m.,5.433,
01/07/2022,9 p.m.,2.054,
01/07/2022,10 p.m.,0.9,
01/07/2022,11 p.m.,1.066,
02/07/2022,12 a.m.,0.567,
02/07/2022,1 a.m.,0.571,
02/07/2022,2 a.m.,0.573,
02/07/2022,3 a.m.,0.539,
02/07/2022,4 a.m.,0.548,
02/07/2022,5 a.m.,0.741,
02/07/2022,6 a.m.,0.651,
02/07/2022,7 a.m.,0.742,
02/07/2022,8 a.m.,0.836,
02/07/2022,9 a.m.,0.627,
02/07/2022,10 a.m.,0.601,
02/07/2022,11 a.m.,1.992,
02/07/2022,12 p.m.,0.764,
02/07/2022,1 p.m.,1.188,
02/07/2022,2 p.m.,1.585,
02/07/2022,3 p.m.,2.093,
02/07/2022,4 p.m.,1.757,
02/07/2022,5 p.m.,0.663,
02/07/2022,6 p.m.,2.549,
02/07/2022,7 p.m.,2.899,
02/07/2022,8 p.m.,0.739,
02/07/2022,9 p.m.,2.07,
02/07/2022,10 p.m.,1.537,
02/07/2022,11 p.m.,1.392,
03/07/2022,12 a.m.,0.558,
03/07/2022,1 a.m.,0.527,
03/07/2022,2 a.m.,0.553,
03/07/2022,3 a.m.,0.605,
03/07/2022,4 a.m.,0.643,
03/07/2022,5 a.m.,0.727,
03/07/2022,6 a.m.,0.607,
03/07/2022,7 a.m.,0.63,
03/07/2022,8 a.m.,1.052,
03/07/2022,9 a.m.,0.664,
03/07/2022,10 a.m.,0.78,
03/07/2022,11 a.m.,0.623,
03/07/2022,12 p.m.,0.671,
